Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,16.67188,0.61006,4.30469,0.90402,0.19164,0.19164
1,256,15.56250,0.56947,4.17578,0.87695,0.21495,0.21495
2,256,14.82031,0.54231,4.05078,0.85070,0.25144,0.25144
3,256,14.30078,0.52330,3.90625,0.82034,0.28149,0.28149
4,256,13.71875,0.50200,3.92578,0.82445,0.31995,0.31995
5,256,13.33984,0.48814,3.73828,0.78507,0.33277,0.33277
6,256,13.32422,0.48756,3.75781,0.78917,0.33838,0.33838
7,256,12.91797,0.47270,3.73047,0.78343,0.36381,0.36381
8,256,12.53516,0.45869,3.60156,0.75636,0.37216,0.37216
9,256,11.88281,0.43482,3.45703,0.72600,0.41216,0.41216
10,256,11.87891,0.43468,3.47656,0.73011,0.40622,0.40622
11,256,11.79297,0.43153,3.47266,0.72929,0.41292,0.41292
12,256,11.74609,0.42982,3.41016,0.71616,0.41828,0.41828
13,256,11.04688,0.40423,3.31250,0.69565,0.44156,0.44156
14,256,10.92188,0.39966,3.34375,0.70221,0.46246,0.46246
15,256,10.55859,0.38636,3.22266,0.67678,0.47155,0.47155
16,256,10.35547,0.37893,3.16797,0.66530,0.49398,0.49398
17,256,10.25391,0.37521,3.18359,0.66858,0.50149,0.50149
18,256,10.32031,0.37764,3.22656,0.67760,0.49479,0.49479
19,256,10.00000,0.36592,3.20703,0.67350,0.52051,0.52051
20,256,10.19922,0.37321,3.15234,0.66202,0.50535,0.50535
21,256,9.79688,0.35849,3.08203,0.64725,0.53638,0.53638
22,256,10.10156,0.36964,3.16016,0.66366,0.50949,0.50949
23,256,10.21484,0.37379,3.12891,0.65710,0.48981,0.48981
24,256,9.98438,0.36535,3.19531,0.67104,0.51393,0.51393
25,256,9.42188,0.34477,3.05859,0.64233,0.53690,0.53690
26,256,9.42188,0.34477,3.01953,0.63413,0.53983,0.53983
27,256,9.20312,0.33676,3.01953,0.63413,0.54923,0.54923
28,256,8.97656,0.32847,2.92188,0.61362,0.55078,0.55078
29,256,9.33594,0.34162,2.97656,0.62510,0.53647,0.53647
30,256,9.28125,0.33962,3.07422,0.64561,0.54228,0.54228
31,256,9.28516,0.33977,3.01953,0.63413,0.54008,0.54008
32,256,8.97266,0.32833,2.93750,0.61690,0.55745,0.55745
33,256,8.91406,0.32619,2.92969,0.61526,0.56601,0.56601
34,256,8.59766,0.31461,2.85938,0.60049,0.57556,0.57556
